team,group,position,confederation,elo,host,elo_source_url,elo_recent_start,elo_recent_end,elo_recent_change,elo_recent_trend_weight,elo_recent_forecast_adjustment,elo_recent_matches,elo_recent_last_match_date
Mexico,A,A1,CONCACAF,1894.000,1,https://www.international-football.net/country?team=Mexico,1875.000,1894.000,19.000,0.000,0.000,21,2026-06-04
South Africa,A,A2,CAF,1556.000,0,https://www.international-football.net/country?team=South+Africa,1528.000,1556.000,28.000,0.000,0.000,14,2026-06-06
South Korea,A,A3,AFC,1773.000,0,https://www.international-football.net/country?team=South+Korea,1758.000,1773.000,15.000,0.000,0.000,11,2026-06-03
Czech Republic,A,A4,UEFA,1715.000,0,https://www.international-football.net/country?team=Czech+Republic,1740.000,1715.000,-25.000,0.000,-0.000,11,2026-06-04
Canada,B,B1,CONCACAF,1776.000,1,https://www.international-football.net/country?team=Canada,1788.000,1776.000,-12.000,0.000,-0.000,15,2026-06-05
Bosnia and Herzegovina,B,B2,UEFA,1637.000,0,https://www.international-football.net/country?team=Bosnia+and+Herzegovina,1595.000,1637.000,42.000,0.000,0.000,11,2026-06-06
Qatar,B,B3,AFC,1379.000,0,https://www.international-football.net/country?team=Qatar,1421.000,1379.000,-42.000,0.000,-0.000,12,2026-06-06
Switzerland,B,B4,UEFA,1905.000,0,https://www.international-football.net/country?team=Switzerland,1891.000,1905.000,14.000,0.000,0.000,11,2026-06-06
Brazil,C,C1,CONMEBOL,1986.000,0,https://www.international-football.net/country?team=Brazil,1991.000,1986.000,-5.000,0.000,-0.000,11,2026-06-06
Morocco,C,C2,CAF,1903.000,0,https://www.international-football.net/country?team=Morocco,1824.000,1903.000,79.000,0.000,0.000,25,2026-06-07
Haiti,C,C3,CONCACAF,1549.000,0,https://www.international-football.net/country?team=Haiti,1548.000,1549.000,1.000,0.000,0.000,14,2026-06-05
Scotland,C,C4,UEFA,1770.000,0,https://www.international-football.net/country?team=Scotland,1782.000,1770.000,-12.000,0.000,-0.000,11,2026-06-06
United States,D,D1,CONCACAF,1737.000,1,https://www.international-football.net/country?team=United+States,1726.000,1737.000,11.000,0.000,0.000,17,2026-06-06
